"Import Template","Importar Template"
"Export","Exportar"
"Preview Image","Pré visualização"
"Template Name","Nome do Template"
"Created For", "Criado para"
"Created","Criado em"
"Template json file","Arquivo json do template"
"Import","Importar"
"Import PageBuilder Template","Importar Template de PageBuilder"
"%1 template file was imported with success!","Arquivo de template %1 foi importado com sucesso!"
"There was an error importing %1, please try again.","Houve um erro ao importar o arquivo %1, tente novamente."
"Template successfully deleted.","Template deletado com sucesso."